Dacheng, Changhua County, 14, "2024-04-01 13:00", £gg/m3
Mailiao,Yunlin County,8,"2024-04-01 13:00",£gg/m3
Guanshan, Taitung County, 10, "2024-04-01 13:00", £gg/m3
Magong,Penghu County,7,"2024-04-01 13:00",£gg/m3
Kinmen,Kinmen County,20,"2024-04-01 13:00",£gg/m3
Matsu, Lianjiang County, 28, "2024-04-01 13:00", £gg/m3
Puli, Nantou County, 12, "2024-04-01 13:00", £gg/m3
Fuxing,Kaohsiung City,9,"2024-04-01 13:00",£gg/m3
Yonghe, New Taipei City, 20, "2024-04-01 13:00", £gg/m3
Zhushan, Nantou County, 20, "2024-04-01 13:00", £gg/m3
Zhongli,Taoyuan City,20,"2024-04-01 13:00",£gg/m3
Sanchong, New Taipei City, 19, "2024-04-01 13:00", £gg/m3
Dongshan,Yilan County,18,"2024-04-01 13:00",£gg/m3
Yilan,Yilan County,20,"2024-04-01 13:00",£gg/m3
Yangming, Taipei City, 8, "2024-04-01 13:00", £gg/m3
